match_sheet_id,stadium_name,stadium_url,association,season
2872115,Emirates Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/11/saison_id/2017,11,2017
2872128,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2914328,Bramall Lane,https://www.transfermarkt.co.uk/stadion/stadion/verein/350/saison_id/2017,350,2017
2872140,Old Trafford,https://www.transfermarkt.co.uk/stadion/stadion/verein/985/saison_id/2017,985,2017
2872149,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872158,John Smith's Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1110/saison_id/2017,1110,2017
2916170,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872169,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872175,Vitality Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/989/saison_id/2017,989,2017
2872188,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872202,Swansea.com Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/2288/saison_id/2017,2288,2017
2929862,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872210,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872221,bet365 Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/512/saison_id/2017,512,2017
2872230,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872244,London Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/379/saison_id/2017,379,2017
2872248,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872260,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872270,St James' Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/762/saison_id/2017,762,2017
2872283,St Mary's Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/180/saison_id/2017,180,2017
2872290,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2950423,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872298,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872313,Vicarage Road,https://www.transfermarkt.co.uk/stadion/stadion/verein/1010/saison_id/2017,1010,2017
2872319,Anfield,https://www.transfermarkt.co.uk/stadion/stadion/verein/31/saison_id/2017,31,2017
2872329,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872336,Stamford Bridge,https://www.transfermarkt.co.uk/stadion/stadion/verein/631/saison_id/2017,631,2017
2872349,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872359,Goodison Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/29/saison_id/2017,29,2017
2872370,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872378,Etihad Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/281/saison_id/2017,281,2017
3000024,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872390,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872398,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872413,The Hawthorns,https://www.transfermarkt.co.uk/stadion/stadion/verein/984/saison_id/2017,984,2017
3012051,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872426,AMEX Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1237/saison_id/2017,1237,2017
2872440,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872445,Turf Moor,https://www.transfermarkt.co.uk/stadion/stadion/verein/1132/saison_id/2017,1132,2017
2872460,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872466,Selhurst Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/873/saison_id/2017,873,2017
2872480,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872418,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2017,1003,2017
2872493,Wembley Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/3299/saison_id/2017,3299,2017
3050172,Old Trafford,https://www.transfermarkt.co.uk/stadion/stadion/verein/985/saison_id/2018,985,2018
3050183,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050194,St Mary's Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/180/saison_id/2018,180,2018
3050203,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050207,Vitality Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/989/saison_id/2018,989,2018
3050223,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3098077,Molineux Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/543/saison_id/2018,543,2018
3050234,St James' Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/762/saison_id/2018,762,2018
3050241,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050247,Emirates Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/11/saison_id/2018,11,2018
3050261,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050269,Cardiff City Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/603/saison_id/2018,603,2018
3050282,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050288,AMEX Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1237/saison_id/2018,1237,2018
3113864,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050302,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050310,Craven Cottage,https://www.transfermarkt.co.uk/stadion/stadion/verein/931/saison_id/2018,931,2018
3050323,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050328,Selhurst Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/873/saison_id/2018,873,2018
3129776,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050340,Stamford Bridge,https://www.transfermarkt.co.uk/stadion/stadion/verein/631/saison_id/2018,631,2018
3050421,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050351,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050361,Goodison Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/29/saison_id/2018,29,2018
3050373,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050386,Molineux Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/543/saison_id/2018,543,2018
3050395,Anfield,https://www.transfermarkt.co.uk/stadion/stadion/verein/31/saison_id/2018,31,2018
3050403,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050414,Wembley Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/3299/saison_id/2018,3299,2018
3050433,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050440,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050454,Vicarage Road,https://www.transfermarkt.co.uk/stadion/stadion/verein/1010/saison_id/2018,1010,2018
3050462,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050477,Turf Moor,https://www.transfermarkt.co.uk/stadion/stadion/verein/1132/saison_id/2018,1132,2018
3050491,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050498,John Smith's Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1110/saison_id/2018,1110,2018
3050517,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050531,London Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/379/saison_id/2018,379,2018
3050537,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3050557,Etihad Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/281/saison_id/2018,281,2018
3050565,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2018,1003,2018
3194826,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3219092,Stamford Bridge,https://www.transfermarkt.co.uk/stadion/stadion/verein/631/saison_id/2019,631,2019
3219427,Bramall Lane,https://www.transfermarkt.co.uk/stadion/stadion/verein/350/saison_id/2019,350,2019
3245177,St James' Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/762/saison_id/2019,762,2019
3219425,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3219419,Old Trafford,https://www.transfermarkt.co.uk/stadion/stadion/verein/985/saison_id/2019,985,2019
3219075,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3219067,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3219405,Anfield,https://www.transfermarkt.co.uk/stadion/stadion/verein/31/saison_id/2019,31,2019
3219392,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3219379,St Mary's Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/180/saison_id/2019,180,2019
3219376,Selhurst Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/873/saison_id/2019,873,2019
3219363,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3219351,AMEX Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1237/saison_id/2019,1237,2019
3219348,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3219330,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3219328,Villa Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/405/saison_id/2019,405,2019
3219313,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3276470,Goodison Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/29/saison_id/2019,29,2019
3219307,Etihad Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/281/saison_id/2019,281,2019
3219290,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3219267,London Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/379/saison_id/2019,379,2019
3219269,St James' Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/762/saison_id/2019,762,2019
3294976,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3219263,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3219264,Turf Moor,https://www.transfermarkt.co.uk/stadion/stadion/verein/1132/saison_id/2019,1132,2019
3219239,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3294977,Villa Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/405/saison_id/2019,405,2019
3219220,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3219187,Molineux Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/543/saison_id/2019,543,2019
3219216,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3219215,Carrow Road,https://www.transfermarkt.co.uk/stadion/stadion/verein/1123/saison_id/2019,1123,2019
3219154,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
3219140,Vicarage Road,https://www.transfermarkt.co.uk/stadion/stadion/verein/1010/saison_id/2019,1010,2019
3219160,King Power Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/1003/saison_id/2019,1003,2019
